Date,BTC_Open,BTC_Close,BTC_High,BTC_Low,BTC_Volatility,ETH_Open,ETH_Close,ETH_High,ETH_Low,ETH_Volatility,Value,Sentiment,Headline_1,Headline_2,Headline_3,Post_1,Post_2,Post_3,Sentiment_1,Sentiment_2,Sentiment_3,USD_Balance,Portfolio_Value_USD,TradeID,Pair,Type,Price,Quantity,TotalCost,ProfitLoss,Coin,TF,Position,Risk,PnL$,R/Factor,Complete,Notes,Day_of_Week,Sentiment_Score,Social_Sentiment_1,Social_Sentiment_2,Social_Sentiment_3,BTC_Daily_Return,ETH_Daily_Return
2025-04-28,93742.5,94995.0,95580.3,92818.9,2.95,1790.21,1799.24,1826.35,1748.24,4.37,70,Greed,BTC Gains 1.34% to 94995,ETH Slightly Up to 1799,2B Institutional Funds Enter Crypto Market,BTC rising to 94995 with ETF support,ETH increasing to 1799 on DeFi growth,BlackRock ETF reporting weekly inflow surge,Positive,Positive,Positive,2265.6,2576.36,49,BTC/USD,Buy,94995.0,0.000526,50.0,-13.44,BTC,Daily,Long,13.44,-13.44,-1,Yes,Loss,Monday,3,1,1,1,1.336106888551084,0.5044100971394402
2025-04-29,94995.4,94269.8,95453.4,93758.0,1.77,1799.26,1798.47,1841.95,1781.4,3.34,40,Fear,BTC Dips 0.76% to 94269,ETH Stable at 1798,Binance Launches New ETH Staking Program,BTC decreasing to 94270 as market slows,ETH flat at 1798 with no big moves,Crypto market seeing significant liquidations,Negative,Neutral,Negative,2252.3,2563.06,50,ETH/USD,Sell,1798.47,0.171,307.48,-13.3,ETH,Daily,Short,13.3,-13.3,-1,Yes,Loss,Tuesday,1,-1,0,-1,-0.7638264589653723,-0.04390693951957825
2025-04-30,94265.0,94184.4,95223.4,93049.6,2.31,1798.4,1793.58,1816.38,1736.41,4.43,35,Fear,BTC Slightly Down to 94184,ETH Falls 0.27% to 1793,Trump Tariffs Shake Crypto Markets,BTC at 94184 with small dip,ETH decreasing to 1794 as investors wait,DeFi TVL declining amid hack concerns,Neutral,Negative,Negative,2189.13,2499.89,51,BTC/USD,Sell,94184.4,0.000531,50.0,-13.17,BTC,Daily,Short,13.17,-13.17,-1,Yes,Loss,Wednesday,1,0,-1,-1,-0.08550363337400502,-0.2680160142348845
2025-05-01,94181.3,96499.3,97394.3,94168.1,3.48,1793.62,1838.32,1872.73,1792.54,4.44,75,Extreme Greed,BTC Jumps 2.46% to 96499,ETH Gains 2.49% to 1838,Stablecoin Growth Hits New Highs,BTC jumping to 96499 as trade talks resume,ETH climbing to 1838 with altcoin rally,Market cap hitting 3.1 trillion,Positive,Positive,Positive,2547.18,2858.18,52,ETH/USD,Buy,1838.32,0.167,307.0,65.05,ETH,Daily,Long,13.01,65.05,5,Yes,Win,Thursday,4,1,1,1,2.461210452605772,2.4921666796757425
2025-05-02,96497.3,96894.4,97881.8,96359.3,1.56,1838.09,1842.06,1869.96,1814.42,3.0,50,Neutral,BTC Gains 0.41% to 96894,ETH Slightly Up to 1842,XRP Futures Launch on CME,BTC increasing to 96894 with ETF inflows,ETH increasing to 1842 on staking growth,Trumps trade deal facing congressional review,Neutral,Neutral,Neutral,2483.52,2794.52,53,BTC/USD,Buy,96894.4,0.000516,50.0,-13.66,BTC,Daily,Long,13.66,-13.66,-1,Yes,Loss,Friday,2,0,0,0,0.41151410453970344,0.2159850714600497
2025-05-03,96894.3,95885.8,96922.2,95785.5,1.17,1842.06,1833.93,1848.21,1812.76,1.92,35,Fear,BTC Falls 1.04% to 95885,ETH Dips 0.44% to 1833,Solana Gains on DeFi Momentum,BTC decreasing to 95886 amid profit taking,ETH decreasing to 1834 as market cools,April DeFi hacks causing major losses,Negative,Negative,Negative,2469.99,2780.99,54,ETH/USD,Sell,1833.93,0.167,306.27,-13.52,ETH,Daily,Short,13.52,-13.52,-1,Yes,Loss,Saturday,1,-1,-1,-1,-1.040824898884661,-0.44135370183381006
2025-05-04,95885.5,94316.9,96297.8,94206.1,2.14,1833.94,1809.05,1849.68,1803.91,2.52,30,Fear,BTC Dips 1.64% to 94316,ETH Falls 1.36% to 1809,Canada Crypto Policy Faces Scrutiny,BTC falling to 94317 with market uncertainty,ETH dipping to 1809 amid volatility,Crypto market bracing for trade deal outcome,Negative,Negative,Neutral,2406.61,2717.61,55,BTC/USD,Sell,94316.9,0.00053,50.0,-13.39,BTC,Daily,Short,13.39,-13.39,-1,Yes,Loss,Sunday,1,-1,-1,0,-1.6359094962220628,-1.3571872580346194
2025-05-05,94314.6,94745.2,95206.8,93590.8,1.75,1809.06,1820.34,1832.02,1783.66,2.68,55,Neutral,BTC Gains 0.45% to 94745,ETH Slightly Up to 1820,Georgia Pushes Blockchain Education Bill,BTC increasing to 94745 with ETF support,ETH rising to 1820 on DApp activity,BlackRock ETF extending strong inflow trend,Neutral,Positive,Positive,2768.94,3079.94,56,ETH/USD,Buy,1820.34,0.168,305.82,66.15,ETH,Daily,Long,13.23,66.15,5,Yes,Win,Monday,2,0,1,1,0.4565570972044532,0.6235282411860288
2025-05-06,94745.9,96825.4,96893.9,93408.8,3.52,1820.34,1816.6,1820.47,1754.38,3.62,65,Greed,BTC Jumps 2.20% to 96825,ETH Stable at 1816,New Whale Withdraws 50M BTC from Binance,BTC climbing to 96825 as sentiment improves,ETH flat at 1817 with market slow,DeFi TVL on Ethereum declining in Q1,Negative,Negative,Negative,2705.06,3016.06,57,BTC/USD,Buy,96825.4,0.000516,50.0,-13.88,BTC,Daily,Long,13.88,-13.88,-1,Yes,Loss,Tuesday,3,-1,-1,-1,2.1948179287969194,-0.20545612358130952
2025-05-07,96817.9,97035.1,97647.5,95798.4,1.92,1816.71,1811.2,1849.05,1788.76,3.37,50,Neutral,BTC Slightly Up to 97035,ETH Dips 0.30% to 1811,US Fed Holds Rates Steady at 4.25%,BTC increasing to 97035 with trade optimism,ETH decreasing to 1811 as investors pause,ETF inflows looking strong again,Neutral,Negative,Positive,2691.32,3002.32,58,ETH/USD,Sell,1811.2,0.169,306.09,-13.74,ETH,Daily,Short,13.74,-13.74,-1,Yes,Loss,Wednesday,2,0,-1,1,0.224338681173638,-0.30329551772159513
2025-05-08,97035.1,103274.3,103885.4,96901.9,7.21,1811.2,2206.13,2225.02,1809.09,23.46,85,Extreme Greed,BTC Soars 6.43% to 103274,ETH Rockets 21.80% to 2206 on Pectra Upgrade,Coinbase Launches 24/7 Futures Trading,BTC increasing to 103274 on trade deal news,ETH rising to 2206 with altcoin surge,Trumps trade deal igniting crypto market,Positive,Positive,Positive,2627.71,2932.6,59,BTC/USD,Sell,103274.3,0.000484,50.0,-13.61,BTC,Daily,Short,13.61,-13.61,-1,Yes,Loss,Thursday,4,1,1,1,6.429838275015945,21.804880742049473
2025-05-09,103270.7,102975.1,104308.7,102365.7,1.87,2207.18,2345.27,2485.98,2185.92,12.97,60,Greed,BTC Slightly Down to 102975,ETH Jumps 6.31% to 2345 on Institutional Inflows,BlackRock BTC ETF Sees 356M Inflows,BTC decreasing to 102975 after record high,ETH jumping to 2345 with strong momentum,April crypto hacks causing significant losses,Negative,Positive,Negative,2994.96,3299.85,60,ETH/USD,Buy,2345.27,0.13,304.89,67.25,ETH,Daily,Long,13.45,67.25,5,Yes,Win,Friday,3,-1,1,-1,-0.2862380132990202,6.256399568680404
2025-05-10,102974.7,104798.0,104969.8,102837.2,2.07,2345.27,2583.78,2597.68,2322.81,11.37,80,Extreme Greed,BTC Gains 1.77% to 104798,ETH Surges 10.17% to 2583,Altseason Begins as BTC Dominance Falls,BTC climbing to 104798 as ETF inflows surge,ETH increasing to 2584 with altcoin rally,BlackRock ETF reporting major inflows,Positive,Positive,Positive,2930.84,3235.23,61,BTC/USD,Buy,104798.0,0.000477,50.0,-14.12,BTC,Daily,Long,14.12,-14.12,-1,Yes,Loss,Saturday,4,1,1,1,1.770629096273165,10.169831192144198
2025-05-11,104748.3,104119.2,104930.9,103358.8,1.47,2583.94,2515.22,2594.8,2440.65,5.93,35,Fear,BTC Dips 0.65% to 104119,ETH Falls 2.65% to 2515,Coinbase Faces 400M Cyberattack,BTC decreasing to 104119 amid profit taking,ETH falling to 2515 as market cools,Coinbase facing cyberattack with hacker email,Negative,Negative,Negative,2916.86,3221.25,62,ETH/USD,Sell,2515.22,0.121,304.39,-13.98,ETH,Daily,Short,13.98,-13.98,-1,Yes,Loss,Sunday,1,-1,-1,-1,-0.6005825392870393,-2.65950447765816
2025-05-12,104119.2,102795.0,105765.2,100766.8,4.73,2515.22,2495.73,2621.09,2413.02,8.28,30,Fear,BTC Falls 1.27% to 102795,ETH Dips 0.77% to 2495,Coinbase Joins S&P 500 Index,BTC decreasing to 102795 with ETF slowdown,ETH decreasing to 2496 amid volatility,Trumps crypto ventures facing senate criticism,Negative,Negative,Negative,2852.02,3156.41,63,BTC/USD,Sell,102795.0,0.000486,50.0,-13.84,BTC,Daily,Short,13.84,-13.84,-1,Yes,Loss,Monday,1,-1,-1,-1,-1.271811539082126,-0.7748825152471666
2025-05-13,102794.9,104119.2,104972.9,101510.2,3.37,2494.95,2680.05,2734.04,2418.44,12.81,75,Extreme Greed,BTC Gains 1.29% to 104119,ETH Jumps 7.39% to 2680 on Staking Optimism,SEC Chair Pledges Crypto Innovation Hub,BTC rising to 104119 on Coinbase S&P news,ETH increasing to 2680 with market rally,Coinbase stock surging on S&P 500 inclusion,Positive,Positive,Positive,3221.92,3526.31,64,ETH/USD,Buy,2680.05,0.113,302.75,68.9,ETH,Daily,Long,13.78,68.9,5,Yes,Win,Tuesday,4,1,1,1,1.288293485377196,7.4189863524319275
2025-05-14,104116.3,103513.9,104316.0,102632.9,1.6,2680.04,2609.68,2719.25,2549.01,6.37,40,Fear,BTC Dips 0.58% to 103513,ETH Falls 2.63% to 2609,ETH Whales Scoop Up 40.75M ETH,BTC decreasing to 103514 amid regulatory news,ETH falling to 2610 as sentiment cools,Trumps crypto plans sparking ethics debate,Neutral,Negative,Negative,3157.46,3461.85,65,BTC/USD,Buy,103513.9,0.000483,50.0,-14.46,BTC,Daily,Long,14.46,-14.46,-1,Yes,Loss,Wednesday,1,0,-1,-1,-0.578583756818105,-2.6253339502395536
2025-05-15,103513.2,103765.4,104153.8,101436.8,2.62,2610.78,2548.16,2644.57,2480.73,6.28,35,Fear,BTC Slightly Up to 103765,ETH Dips 2.36% to 2548,MicroStrategy Boosts BTC Holdings by 500M,BTC increasing to 103765 with ETF support,ETH dipping to 2548 amid profit taking,Coinbase reporting major loss from cyberattack,Neutral,Negative,Negative,3143.14,3447.53,66,ETH/USD,Sell,2548.16,0.119,303.19,-14.32,ETH,Daily,Short,14.32,-14.32,-1,Yes,Loss,Thursday,1,0,-1,-1,0.24364042460284976,-2.3985169183156123
2025-05-16,103764.6,103480.5,104544.1,103126.5,1.37,2545.46,2537.04,2646.74,2531.45,5.02,45,Neutral,BTC Dips 0.27% to 103480,ETH Falls 0.44% to 2537,Stellar XLM Eyes 0.30 Surge,BTC decreasing to 103481 as market pauses,ETH decreasing to 2537 with low volatility,Analysts predicting strong bitcoin growth,Negative,Negative,Positive,3078.96,3383.35,67,BTC/USD,Sell,103480.5,0.000483,50.0,-14.18,BTC,Daily,Short,14.18,-14.18,-1,Yes,Loss,Friday,2,-1,-1,1,-0.27379279638721277,-0.33078500546070544
2025-05-17,103473.9,103112.6,103712.3,102626.5,1.05,2537.14,2475.04,2537.14,2449.57,3.45,30,Fear,BTC Falls 0.36% to 103112,ETH Dips 2.44% to 2475,XRP Soars to 2.60 on ETF Speculation,BTC decreasing to 103113 amid weekend sell off,ETH falling to 2475 as market cools,Coinbase hack tied to overseas employee,Negative,Negative,Negative,3449.01,3753.4,68,ETH/USD,Buy,2475.04,0.122,301.95,70.05,ETH,Daily,Long,14.01,70.05,5,Yes,Win,Saturday,1,-1,-1,-1,-0.3491701772137596,-2.4476378914841086
2025-05-18,103113.9,106504.5,106577.0,103113.9,3.29,2475.04,2498.97,2585.12,2340.94,10.39,70,Greed,BTC Jumps 3.29% to 106504,ETH Gains 0.97% to 2498,Solana Up 17% in Two Days,BTC jumping to 106505 with ETF inflows,ETH rising to 2499 with altcoin rally,Artist falling victim to Coinbase scam,Positive,Positive,Negative,3384.26,3689.01,69,BTC/USD,Buy,106504.5,0.000469,50.0,-14.75,BTC,Daily,Long,14.75,-14.75,-1,Yes,Loss,Sunday,3,1,1,-1,3.2882084762578137,0.9668530609606244
2025-05-19,106507.7,103023.3,107081.3,102088.2,4.69,2498.79,2413.56,2509.74,2352.64,6.29,35,Fear,BTC Dips 3.27% to 103023,ETH Falls 3.42% to 2413 on Heavy Selloff,$31B Liquidated as BTC Hits 107K,BTC falling to 103023 after record high,ETH dipping to 2414 amid profit taking,Canada shining as crypto hub at Consensus,Negative,Negative,Positive,3369.66,3674.41,70,ETH/USD,Sell,2413.56,0.125,301.7,-14.6,ETH,Daily,Short,14.6,-14.6,-1,Yes,Loss,Monday,1,-1,-1,1,-3.271500558175601,-3.4108508518122775
